Plot ,species,Distance ,angel,individual,leaf ID,disc , disc_area,fresh_weight ,dry_weight ,canopy_openness
2,Colocasia_gigantea ,1.7,65,2,2,7,10,0.1086,0.0142,0.1428
2,Colocasia_gigantea ,1.7,65,2,3,7,10,0.1075,0.0179,0.1428
2,Colocasia_gigantea ,1.7,65,2,4,7,10,0.11,0.0173,0.1428
2,Colocasia_gigantea ,2.1,220,3,1,7,10,0.1019,0.0173,0.170918
2,Colocasia_gigantea ,2.1,220,3,2,7,10,0.1053,0.0157,0.170918
2,Colocasia_gigantea ,2.1,220,3,3,8,10,0.1163,0.0194,0.170918
2,Colocasia_gigantea ,1,215,4,1,7,10,0.0927,0.0148,0.205612
2,Colocasia_gigantea ,1,215,4,2,8,10,0.0998,0.0164,0.205612
2,Colocasia_gigantea ,1,215,4,3,7,10,0.0894,0.0153,0.205612
2,Colocasia_gigantea ,3,90,5,1,7,10,0.1013,0.0156,0.118903
2,Colocasia_gigantea ,3,90,5,2,7,10,0.0928,0.0158,0.118903
2,Colocasia_gigantea ,3,90,5,3,7,10,0.0894,0.0161,0.118903
2,Colocasia_gigantea ,3,90,5,4,7,10,0.0845,0.0138,0.118903
2,Colocasia_gigantea ,3,90,5,5,7,10,0.0949,0.0165,0.118903
2,Colocasia_gigantea ,4.1,50,6,1,7,10,0.0991,0.0184,0.129218
2,Colocasia_gigantea ,4.1,50,6,2,7,10,0.1057,0.0191,0.129218
2,Colocasia_gigantea ,4.1,50,6,3,7,10,0.1085,0.0139,0.129218
2,Colocasia_gigantea ,4.1,50,6,4,7,10,0.0977,0.0185,0.129218
2,Colocasia_gigantea ,4.1,50,6,5,7,10,0.107,0.0173,0.129218
2,Colocasia_gigantea ,5.3,65,7,1,7,10,0.1013,0.0169,0.147922
2,Colocasia_gigantea ,5.3,65,7,2,7,10,0.0957,0.0178,0.147922
2,Colocasia_gigantea ,5.3,65,7,3,7,10,0.0975,0.0173,0.147922
2,Colocasia_gigantea ,5.3,65,7,4,7,10,0.1011,0.0182,0.147922
2,Colocasia_gigantea ,6,84,8,1,7,10,0.0943,0.0151,0.044454
2,Colocasia_gigantea ,6,84,8,2,7,10,0.0911,0.0171,0.044454
2,Colocasia_gigantea ,6,84,8,3,7,10,0.087,0.0175,0.044454
2,Colocasia_gigantea ,6,84,8,4,8,10,0.1147,0.0215,0.044454
2,Colocasia_gigantea ,6,84,8,5,7,10,0.0915,0.0173,0.044454
2,Colocasia_gigantea ,7.1,97,9,1,7,10,0.0937,0.0161,0.015016
2,Colocasia_gigantea ,7.1,97,9,2,7,10,0.1066,0.0161,0.015016
2,Colocasia_gigantea ,7.1,97,9,3,7,10,0.0954,0.017,0.015016
2,Colocasia_gigantea ,7.1,97,9,4,7,10,0.0983,0.0164,0.015016
2,Colocasia_gigantea ,7.1,97,9,5,7,10,0.0923,0.0155,0.015016
2,Colocasia_gigantea ,7.2,94,10,1,7,10,0.1026,0.0169,0.054627
2,Colocasia_gigantea ,7.2,94,10,2,7,10,0.1104,0.0179,0.054627
2,Colocasia_gigantea ,7.2,94,10,3,7,10,0.1077,0.0159,0.054627
2,Colocasia_gigantea ,7.2,94,10,4,7,10,0.1044,0.0191,0.054627
2,Colocasia_gigantea ,7.2,94,10,5,7,10,0.1023,0.0184,0.054627
2,Colocasia_gigantea ,7.8,50,11,1,7,10,0.1084,0.0236,0.077961
2,Colocasia_gigantea ,7.8,50,11,2,7,10,0.1111,0.0176,0.077961
2,Colocasia_gigantea ,7.8,50,11,3,8,10,0.1254,0.0284,0.077961
2,Colocasia_gigantea ,7.8,50,11,4,7,10,0.1139,0.0241,0.077961
2,Colocasia_gigantea ,7.8,50,11,5,7,10,0.1142,0.0244,0.077961
2,Colocasia_gigantea ,4.1,190,12,1,7,10,0.0872,0.0154,0.030018
2,Colocasia_gigantea ,4.1,190,12,2,7,10,0.0926,0.0153,0.030018
2,Colocasia_gigantea ,4.1,190,12,3,7,10,0.0959,0.0144,0.030018
2,Colocasia_gigantea ,4.1,190,12,4,7,10,0.0913,0.0169,0.030018
2,Colocasia_gigantea ,4.1,190,12,5,7,10,0.0937,0.0157,0.030018
2,Colocasia_gigantea ,3.3,180,13,1,7,10,0.0893,0.0156,0.043473
2,Colocasia_gigantea ,3.3,180,13,2,7,10,0.0891,0.0148,0.043473
2,Colocasia_gigantea ,3.3,180,13,3,7,10,0.0949,0.0161,0.043473
2,Colocasia_gigantea ,3.3,180,13,4,7,10,0.0989,0.016,0.043473
2,Colocasia_gigantea ,3.3,180,13,5,7,10,0.1023,0.0161,0.043473
2,Colocasia_gigantea ,5.2,210,14,1,7,10,0.1124,0.0198,0.028115
2,Colocasia_gigantea ,5.2,210,14,2,7,10,0.1058,0.0191,0.028115
2,Colocasia_gigantea ,5.2,210,14,3,7,10,0.0959,0.019,0.028115
2,Colocasia_gigantea ,5.2,210,14,4,7,10,0.1047,0.02,0.028115
2,Colocasia_gigantea ,5.2,240,15,1,7,10,0.1009,0.0197,0.032428
2,Colocasia_gigantea ,5.2,240,15,2,7,10,0.1101,0.0189,0.032428
2,Colocasia_gigantea ,5.2,240,15,3,7,10,0.1104,0.0195,0.032428
2,Colocasia_gigantea ,5.2,240,15,4,7,10,0.106,0.0195,0.032428
2,Colocasia_gigantea ,5.2,240,15,5,7,10,0.0965,0.0172,0.032428
2,Colocasia_gigantea ,7,230,16,1,7,10,0.1092,0.0207,0.076007
2,Colocasia_gigantea ,7,230,16,2,7,10,0.1173,0.0208,0.076007
2,Colocasia_gigantea ,7,230,16,3,7,10,0.1153,0.0211,0.076007
2,Colocasia_gigantea ,7,230,16,4,7,10,0.1154,0.0211,0.076007
2,Colocasia_gigantea ,7,230,16,5,7,10,0.1148,0.02,0.076007
2,Colocasia_gigantea ,6.3,200,17,1,7,10,0.0961,0.0202,0.084037
2,Colocasia_gigantea ,6.3,200,17,2,7,10,0.1173,0.0208,0.084037
2,Colocasia_gigantea ,6.3,200,17,3,7,10,0.103,0.0208,0.084037
2,Colocasia_gigantea ,6.3,200,17,4,7,10,0.1048,0.0192,0.084037
2,Colocasia_gigantea ,6.3,200,17,5,7,10,0.0997,0.0198,0.084037
2,Colocasia_gigantea ,6.2,190,18,1,7,10,0.0979,0.0191,0.085194
2,Colocasia_gigantea ,6.2,190,18,2,7,10,0.0939,0.0171,0.085194
2,Colocasia_gigantea ,6.2,190,18,3,7,10,0.0976,0.0201,0.085194
2,Colocasia_gigantea ,6.2,190,18,4,7,10,0.1063,0.0191,0.085194
2,Colocasia_gigantea ,6.8,190,19,1,7,10,0.1016,0.0213,0.08815
2,Colocasia_gigantea ,6.8,190,19,2,7,10,0.1129,0.0203,0.08815
2,Colocasia_gigantea ,6.8,190,19,3,7,10,0.1066,0.0214,0.08815
2,Colocasia_gigantea ,6.8,190,19,4,7,10,1127,0.0219,0.08815
2,Colocasia_gigantea ,6.8,190,19,5,7,10,0.1196,0.0211,0.08815
2,Colocasia_gigantea ,8.2,180,20,1,7,10,0.0915,0.0183,0.088763
2,Colocasia_gigantea ,8.2,180,20,2,7,10,0.1057,0.0236,0.088763
2,Colocasia_gigantea ,8.2,180,20,3,7,10,0.1136,0.0205,0.088763
2,Colocasia_gigantea ,8.2,180,20,4,7,10,0.0971,0.0217,0.088763
2,Colocasia_gigantea ,8.2,180,20,5,7,10,0.1103,0.0218,0.088763
2,Colocasia_gigantea ,8.1,180,21,1,7,10,0.0971,0.019,0.088807
2,Colocasia_gigantea ,8.1,180,21,2,7,10,0.1065,0.0201,0.088807
2,Colocasia_gigantea ,8.1,180,21,3,7,10,0.1049,0.0217,0.088807
2,Colocasia_gigantea ,8.1,180,21,4,7,10,0.0876,0.0184,0.088807
2,Colocasia_gigantea ,8.1,180,21,5,7,10,0.1083,0.0183,0.088807
2,Colocasia_gigantea ,10.2,170,22,1,7,10,0.1089,0.0268,0.089073
2,Colocasia_gigantea ,10.2,170,22,2,7,10,0.1271,0.0269,0.089073
2,Colocasia_gigantea ,10.2,170,22,3,7,10,0.1058,0.0255,0.089073
2,Colocasia_gigantea ,10.2,170,22,4,7,10,0.1045,0.024,0.089073
2,Colocasia_gigantea ,10.2,170,22,5,7,10,0.1102,0.0261,0.089073
2,Colocasia_gigantea ,10.6,150,23,1,7,10,0.0892,0.0204,0.082517
2,Colocasia_gigantea ,10.6,150,23,2,7,10,0.1042,0.0197,0.082517
2,Colocasia_gigantea ,10.6,150,23,3,7,10,0.0973,0.0205,0.082517
2,Colocasia_gigantea ,10.6,150,23,4,7,10,0.0876,0.0214,0.082517
2,Colocasia_gigantea ,10.6,150,23,5,7,10,0.0994,0.021,0.082517
2,Colocasia_gigantea ,11.6,140,24,1,7,10,0.0893,0.018,0.078171
2,Colocasia_gigantea ,11.6,140,24,2,7,10,0.0876,0.0188,0.078171
2,Colocasia_gigantea ,11.6,140,24,3,7,10,0.1,0.0181,0.078171
2,Colocasia_gigantea ,11.6,140,24,4,7,10,0.087,0.018,0.078171
2,Colocasia_gigantea ,14,170,25,1,7,10,0.1184,0.0234,0.089312
2,Colocasia_gigantea ,14,170,25,2,7,10,0.1043,0.0237,0.089312
